request_id,department,resource_location,start_time,end_time
1085,Electricity,Wakad_Chowk,2026-03-01 17:00,2026-03-02 00:00
1086,Telecom,Punawale_Malwadi,2026-03-02 07:00,2026-03-02 14:00
1087,Electricity,Aundh_Road_Hwy,2026-03-03 01:00,2026-03-03 08:00
1088,Water,Aundh_Road_Hwy,2026-03-03 02:00,2026-03-03 04:00
1089,Transport,Aundh_Road_Hwy,2026-03-03 05:00,2026-03-03 13:00
1090,Electricity,Main_St_Sector_7,2026-03-01 09:00,2026-03-01 17:00
1091,Water,Aundh_Road_Hwy,2026-03-01 08:00,2026-03-01 13:00
1092,Water,Hinjewadi_Phase_1,2026-03-01 17:00,2026-03-01 22:00
1093,Electricity,Wakad_Chowk,2026-03-01 08:00,2026-03-01 15:00
1094,Transport,Main_St_Sector_7,2026-03-02 14:00,2026-03-02 19:00
1095,Transport,Wakad_Chowk,2026-03-02 18:00,2026-03-02 23:00
1096,Electricity,Punawale_Malwadi,2026-03-02 02:00,2026-03-02 06:00
1097,Transport,Punawale_Malwadi,2026-03-01 20:00,2026-03-02 02:00
1098,Electricity,Punawale_Malwadi,2026-03-02 09:00,2026-03-02 13:00
1099,Telecom,Aundh_Road_Hwy,2026-03-02 21:00,2026-03-03 05:00
